# MINERAL RESOURCES TASMANIA
#
# TASMANIAN GRAVITY DATABASE
#
# GRAVITY DATUM ISOGAL65
#
# BOUGUER AND TERRAIN CORRECTION DENSITY 2.67 TONNES/CUBIC METRE
#
# COORDINATES ARE AGD66, ZONE 55
#
# easting [m], northing [m],  Bouguer Anomaly [milligal]
5.349500000000000000e+05,5.280900000000000000e+06,4.809999999999999609e+00
5.341000000000000000e+05,5.282960000000000000e+06,-2.859999999999999876e+00
5.339000000000000000e+05,5.284100000000000000e+06,-6.800000000000000488e-01
5.339200000000000000e+05,5.285070000000000000e+06,2.310000000000000053e+00
5.330400000000000000e+05,5.285900000000000000e+06,-3.499999999999999778e-01
5.390000000000000000e+05,5.282000000000000000e+06,5.839999999999999858e+00
5.379200000000000000e+05,5.282850000000000000e+06,4.320000000000000284e+00
5.379000000000000000e+05,5.282150000000000000e+06,5.019999999999999574e+00
5.371000000000000000e+05,5.283200000000000000e+06,2.700000000000000178e+00
5.370000000000000000e+05,5.284000000000000000e+06,3.379999999999999893e+00
5.370300000000000000e+05,5.285040000000000000e+06,2.669999999999999929e+00
5.390000000000000000e+05,5.284930000000000000e+06,8.689999999999999503e+00
5.391000000000000000e+05,5.284200000000000000e+06,9.179999999999999716e+00
5.391200000000000000e+05,5.283000000000000000e+06,9.130000000000000782e+00
5.330400000000000000e+05,5.284070000000000000e+06,-9.599999999999999645e-01
5.348700000000000000e+05,5.282930000000000000e+06,2.620000000000000107e+00
5.330800000000000000e+05,5.284870000000000000e+06,1.100000000000000089e+00
5.359000000000000000e+05,5.282080000000000000e+06,4.019999999999999574e+00
5.370700000000000000e+05,5.281800000000000000e+06,5.200000000000000178e+00
5.359600000000000000e+05,5.283030000000000000e+06,3.069999999999999840e+00
5.358200000000000000e+05,5.283850000000000000e+06,2.629999999999999893e+00
5.389200000000000000e+05,5.286020000000000000e+06,6.860000000000000320e+00
5.390000000000000000e+05,5.287000000000000000e+06,8.050000000000000711e+00
5.380000000000000000e+05,5.287050000000000000e+06,3.930000000000000160e+00
